docid	author	authordate	title	latestcomp	hathidate	imprint	gutenstring	enumcron	gbindex	nonficprob	juvenileprob	LOCgenres	LOCsubjects	contents	instances	genre	audience	authgender	multiplehtids	comments	coder
uc2.ark=+13960+t6n015h6d	"Maupassant, Guy de"	1850-1893.	The works of Guy de Maupassant	1893	1903	"Akron, Ohio : Saint Dunstan Society"	"Maupassant, Guy de | Bel ami"	v.6	33928	0.074733257	0.003753359				1	fic		m	y		peizhen
uc2.ark=+13960+t48p5x92b	"Ebers, Georg"	1837-1898.	Cleopatra	1894	1894	"London;Sampson Low, Marston;"	"Ebers, Georg | Cleopatra"	v. 2	36294	0.274780331	0.010388872		Cleopatra|Queen of Egypt|d. 30 B.C		1	fic | historical | romance		m			morgan
uc2.ark=+13960+t16m34w2j	"Ebers, Georg"	1837-1898.	Cleopatra	1894	1894	"London;Sampson Low, Marston;"	"Ebers, Georg | Cleopatra"	v. 1	36294	0.414395079	0.085355973		Cleopatra|Queen of Egypt|d. 30 B.C		1	fic | historical | romance		m			morgan
mdp.39015065540133	"Kipling, Rudyard"	1865-1936.	The jungle book	1894	1894	London;New York;Macmillan an	"Kipling, Rudyard | The jungle book"		35997	0.156210974	0.227721822	Juvenile audience|Bibliographies|Fantasy fiction	"Jungle animals|Jungles|Feral children|Mowgli (Fictitious character)|Short stories|Animals|Folklore|Boys|Adventure stories, English|Inlaid binding|Juvenile fiction|Children's stories, English"		2	fic	juv	m			peizhen
uc2.ark=+13960+t6xw4n10m	"Stables, Gordon"	1840-1910.	Shireen and her friends	1895	1895	London;Jarrold and Sons;1895	"Stables, Gordon | Shireen and her Friends"		38236	0.181324446	0.622646811		Folklore|Cats		1	fic	juv	m			wenyi
mdp.39015008985486	"Jewett, Sarah Orne"	1849-1909.	The life of Nancy	1895	1895	"Boston;New York;Houghton, Mi"	"Jewett, Sarah Orne | The Life of Nancy"		31473	0.065398944	0.378655849		New England|Social life and customs|Women|19th century	The life of Nancy.--Fame's little day.--A war debt.--The Hiltons' holiday.--The only rose.--A second spring.--Little French Mary.--The guests of Mrs. Timms.--A neighbor's landmark.--All my sad captains.	2	fic | short		f			peizhen
uc2.ark=+13960+t3707x24f	"Garland, Hamlin"	1860-1940.	Rose of Dutcher's Coolly	1895	1895	Chicago;Stone & Kimball;1895	"Garland, Hamlin | Rose of Dutcher's Coolly"		35805	0.042509493	0.029854673	Domestic fiction|Bibliographies|Bildungsromans	Rural families|Widowers|Farm life|Young women|Women poets|Fathers and daughters		1	fic		m			peizhen
uc2.ark=+13960+t1rf5sg5g	"Buchan, John"	1875-1940.	Sir Quixote of the Moors	1895	1895	New York;Holt;1895.	"Buchan, John | Sir Quixote of the Moors"		46345	0.029352013	0.024511036				1	fic | historical		m			ted
uc2.ark=+13960+t4dn4098k	"Coffin, Charles Carleton"	1823-1896.	"Daughters of the revolution and their times, 1769-1776;"	1895	1895	"Boston;New York;Houghton, Mi"	"Coffin, Charles Carleton | Daughters of the Revolution and Their Times"		29849	0.114639114	0.234424354		"Revolution, 1775-1783|History|Massachusetts"		3	fic | historical		m			ted
uc2.ark=+13960+t6nz81h05	"Trueba, Antonio de"		The Cid Campeador;	1895	1895	"London;New York;Longmans, Gr"	"Trueba, Antonio de | The Cid Campeador"		41990	0.261029291	0.016022962		Cid|ca. 1043-1099		1	fic | historical		m			peizhen
nc01.ark=+13960+t9765h736	"Pyle, Howard"	1853-1911.	The story of Jack Ballister's fortunes	1895	1895	New York;The Century Co.;192	"Pyle, Howard | The Story of Jack Ballister's Fortunes"		49985	0.088679209	0.148512964				3	fic | historical		m			wenyi
nyp.33433074857636	"Hope, Anthony"	1863-1933.	The chronicles of Count Antonio	1895	1895	London;Methuen and Co.;1895.	"Hope, Anthony | The Chronicles of Count Antonio"		40570	0.119752522	0.432881304	New York (State)|Publishers' cloth bindings (Binding)|Romantic suspense fiction|Love stories|New York	English fiction		1	fic		m			peizhen
uc1.b4105458	"Morrison, Arthur"	1863-1945.	A child of the Jago	1896	1896	Chicago;H. S. Stone;1896.	"Morrison, Arthur | A Child of the Jago"		36958	0.461919253	0.250847017	Bibliographies	Slums|London|England|Boys|Social life and customs|19th century		2	fic	juv	m			wenyi
uc2.ark=+13960+t5t72hr96	"Stuart, Ruth McEnery"	1856-1917.	Solomon Crow's Christmas pockets	1896	1896	New York;Harper & Brothers P	"Stuart, Ruth McEnery | Solomon Crow's Christmas Pockets & Other Tales"		27779	0.109232503	0.046085013				2	fic | short		f			wenyi
nyp.33433074902283	"Molesworth, Mrs"	1842-1921.	Philippa	1896	1896	Philadelphia;J.B. Lippincott	"Molesworth, Mrs. | Philippa"		43169	0.047849776	0.012301222	Juvenile audience	English fiction		1	fic	juv	f			wenyi
uc2.ark=+13960+t9r21052c	"Scott, Duncan Campbell"	1862-1947.	In the village of Viger	1896	1896	Boston;Copeland and Day;1896	"Scott, Duncan Campbell | In the Village of Viger"		48998	0.065294475	0.030008089				1	fic | short		m			wenyi
njp.32101042611911	"Morrison, Arthur"	1863-1945.	Chronicles of Martin Hewitt	1896	1896	New York;D. Appleton;1896.	"Morrison, Arthur | Chronicles of Martin Hewitt"		37820	0.525833499	0.049172095		"Hewitt, Martin (Fictitious character)"	"The Ivy Cottage mystery -- The Nicobar bullion case -- The Holford will case -- The case of the missing hand -- The case of Laker, absconded -- The case of the lost foreigner."	1	fic | mystery		m			wenyi
uva.x004152854	"Carroll, Lewis"	1832-1898.	Alice's adventures in Wonderland	1896	1896	Philadelphia;H. Altemus;c189	"Carroll, Lewis | Alice's Adventures in Wonderland"		28885	0.217040607	0.984581825	Juvenile audience			1	fic	juv	m			ted
uc2.ark=+13960+t0bv7b263	"King, Charles"	1844-1933.	Trumpeter Fred;	1896	1896	New York;Chicago;F.T. Neely;	"King, Charles | Trumpeter Fred"		37415	0.321382805	0.065350747				1	fic | historical		m			peizhen
mdp.39015011887588	"Corelli, Marie"	1855-1924.	The murder of Delicia	1896	1896	Philadelphia;J. B. Lippincot	"Corelli, Marie | The Murder of Delicia"		53097	0.120109999	0.001842777				1	fic		f			ted
uc2.ark=+13960+t0qr4pz26	"Graydon, William Murray"	1864-1946.	In the days of Washington;	1896	1896	Philadelphia;The Penn publis	"Graydon, William Murray | In the Days of Washington"		41420	0.190065159	0.026022704		"Revolution, 1775-1783|United States|American fiction|History"		1	fic | historical		m			peizhen
uc2.ark=+13960+t8v980p58	"Hope, Anthony"	1863-1933.	The heart of Princess Osra	1896	1896	New York;London;F. A. Stokes	"Hope, Anthony | The Heart of Princess Osra"		41438	0.058906127	0.153755216				1	fic | historical		m			peizhen
nyp.33433074800313	"Barr, Amelia Edith Huddleston"	1831-1919.	Prisoners of conscience	1897	1897	New York;The Century co.;189	"Barr, Amelia Edith Huddleston | Prisoners of Conscience"		31835	0.054614463	0.003834743				2	fic | historical		f			ted
uc2.ark=+13960+t6639m659	"James, Henry"	1843-1916.	The spoils of Poynton	1897	1897	London;W. Heinemann;1897.	"James, Henry | The Spoils of Poynton"		33325	0.134635424	0.016568537	Autographs (Provenance)|Bookplates (Provenance)|Novel	England|Mothers and sons|Widows|Inheritance and succession		1	fic		m			peizhen
uc2.ark=+13960+t2m61bw05	"Habberton, John"	1842-1921.	Trif and Trixy	1897	1897	Philadelphia;H. Altemus;1897	"Habberton, John | Trif and Trixy"		51788	0.014777231	0.081326641				1	fic		m			peizhen
dul1.ark=+13960+t2h713c5c	"Griffith, George Chetwynd"		Olga Romanoff	1897	1897	"London;Simpkin, Marshall, Ha"	"Griffith, George Chetwynd | Olga Romanoff"		54096	0.260586572	0.033994905		"Utopias|Robinson, Ernest|Provenance"		1	fic | sf		m			peizhen
uc2.ark=+13960+t85h7j691	"Sienkiewicz, Henryk"	1846-1916.	Let us follow Him	1897	1897	"Boston;Little, Brown and com"	"Sienkiewicz, Henryk | Let us follow Him"		41988	0.244971107	0.000864523				3	fic | historical		m			wenyi
uc2.ark=+13960+t39020v68	"Seawell, Molly Elliot"	1860-1916.	The Rock of the Lion	1897	1897	New York;London;Harper & bro	"Seawell, Molly Elliot | The Rock of the Lion"		47785	0.106302813	0.054326343				1	fic | historical		f			wenyi
nyp.33433074864897	"Glanville, Ernest"	1856-1925.	Tales from the veld	1897	1897	London;Chatto & Windus;1897.	"Glanville, Ernest | Tales from the Veld"		36602	0.514135194	0.035885124				1	fic		m			peizhen
mdp.39076002194236	"May, Sophie"	1833-1906.	Dotty Dimple at school	1897	1897	"Boston;Lothrop, Lee & Shepar"	"May, Sophie | Dotty Dimple at School"		48951	0.202830161	0.999718533	Juvenile audience	Juvenile fiction|Schools		1	fic	juv	f			peizhen
uc1.$b248476	"Burton, Frederick Russell"		The mission of Poubalov	1897	1897	New York;Street & Smith;c189	"Burton, Frederick Russell | The Mission of Poubalov"		46774	0.094675601	0.1079072				2	fic		m			ted
nyp.33433082547161	"Harris, Joel Chandler"	1848-1908.	Aaron in the wildwoods	1897	1897	"Boston;New York;Houghton, Mi"	"Harris, Joel Chandler | Aaron in the Wildwoods"		52782	0.160094459	0.088620514				1	fic	juv	m			peizhen
uc2.ark=+13960+t27945m27	"Munthe, Axel"	1857-1949.	Vagaries	1898	1898	London;J. Murray;1898.	"Munthe, Axel | Vagaries"		38894	0.387471073	0.025671368				3	fic | short		m			wenyi
uc2.ark=+13960+t8df6mw0k	"Springer, Rebecca Ruter"	1832-1904.	Intra Muros	1898	1898	"Elgin, Ill.;David C. Cook Pu"	"Springer, Rebecca Ruter | Intra Muros"		34683	0.250879784	0.932735399				1	fic		f			wenyi
uc2.ark=+13960+t6930w82k	"Buchan, John"	1875-1940.	John Burnet of Barns;	1898	1898	London;New York;John Lane: t	"Buchan, John | John Burnet of Barns"		40014	0.111967747	0.025891364				1	fic | historical		m			ted
nyp.33433082361944	"Otis, James"	1848-1912.	The princess and Joe Potter;	1898	1898	Boston;Estes and Lauriat;189	"Otis, James | The Princess and Joe Potter"		32249	0.140624361	0.471168989				1	fic	juv	m			wenyi
uc1.$b323451	"Sienkiewicz, Henryk"	1846-1916.	Pan Michael	1898	1898	New York;Federal Book Co.;c1	"Sienkiewicz, Henryk | Pan Michael"		37361	0.401027197	0.124578493		"Poland|History|Michael Wisniowiecki, 1669-1673"		2	fic | historical		m			wenyi
