docid	author	authordate	title	latestcomp	hathidate	imprint	gutenstring	enumcron	gbindex	nonficprob	juvenileprob	LOCgenres	LOCsubjects	contents	instances	genre	audience	authgender	multiplehtids	comments	coder	Folder	Trimmed	isbio	passagefails	worderrors
uiug.30112065082684	Fleury de Chaboullon, Pierre	1779-1835	Memoirs of the Private Life, Return,and Reign of Napoleon, vol 1	1820	1820.0	London: John Murray			22345							bio|c19		m						True	0.10841714285714286	0.017499999999999998
mdp.39015011684407	Higginson, Thomas Wentworth,		Henry Wadsworth Longfellow	1902		Boston;New York;Houghton, Mi	Higginson, Thomas Wentworth | Henry Wadsworth Longfellow	<blank>	33402							bio		m			morgan	gutenbiotrimmed	Trimmed	True	0.1183	0.016253999999999998
uc1.32106001955902	Stevenson, Robert Louis	1850-1894	Travels with a Donkey, in the Cevennes	1907	1897.0	London: Chatto and Windus			535							bio|c19		m						True	0.054595	0.009675
loc.ark+=13960=t6tx4485c	Abbott, Jacob		History of Cleopatra, Queen of Egypt	1854		New York;Harper;1854.	Abbott, Jacob | History of Cleopatra, Queen of Egypt	<blank>	40205							bio		u			morgan	gutenbiotrimmed	Trimmed	True	0.06499800000000001	0.029292000000000002
uc2.ark+=13960=t6445r655	Barrie, J. M.		An Edinburgh eleven	1889		"London;Office of the ""Britis"	Barrie, J. M. | An Edinburgh Eleven	<blank>	39203							bio		u		fictionalized of own life (college stories - episodic)	morgan	gutenbiotrimmed	Trimmed	True	0.10327	0.013895
loc.ark+=13960=t6f19hm10	Howe, Julia Ward,		Margaret Fuller (Marchesa Ossoli)	1883		Boston;Roberts brothers;1883	Howe, Julia Ward | Margaret Fuller (Marchesa Ossoli)	<blank>	32511							bio		f			morgan	gutenbiotrimmed	Trimmed	True	0.11532800000000001	0.019450000000000002
uc2.ark+=13960=t2n58d64k	Mayer, Brantz,		Memoir of Jared Sparks, LL.D	1867		Baltimore;Printed for the au	Mayer, Brantz | Memoir of Jared Sparks, LL.D.	<blank>	32089							bio		u			morgan	gutenbiotrimmed	Trimmed	True	0.06098	0.01892
uc2.ark+=13960=t0wp9ts5t	Torrey, Bradford	1843-1912.	A rambler's lease	1889	1889.0	Boston and New York;Houghton	Torrey, Bradford | A Rambler's lease		36173	0.903614621	0.594921742		White Mountains (N.H. and Me.)|White Mountains|Description and travel|Juvenile and popular literature|Birds		2.0	bio		m			wenyi	gutenbiotrimmed	Trimmed	True	0.02773666666666667	0.018793333333333332
loc.ark+=13960=t6b27z54n	Gay, Sydney Howard,		James Madison	1889		Boston;New York;Houghton, Mi	Gay, Sydney Howard | James Madison	<blank>	28992							bio		u			morgan	gutenbiotrimmed	Trimmed	True	0.07084666666666667	0.02655
uc1.31175014904273	Psalmanazar, George	1679-1763	Memoirs of ****, Commonly Known by the Name of George Psalmanazar	1764	1764.0	London: executrix			PsalGMPbio							bio|c18		m						True	0.014618	0.16599600000000003
uc1.$b275121	Smeaton, William Henry Oliphant	1856-1914.	Allan Ramsay	1896	1896.0	New York;Scribner;1896	Smeaton, William Henry Oliphant | Allan Ramsay		32642	0.917182875	0.024215292		Ramsay, Allan|1685?-1758|18th century|Ramsey, Allan|1686-1758|Poets, Scottish|Biography		2.0	bio		m			wenyi	gutenbiotrimmed	Trimmed	True	0.017886666666666665	0.007843333333333332
mdp.39015019800443	London, Jack	1876-1916	The Cruise of the Snark	1923	1911.0				2512							bio|c19		m						True	0.05948333333333333	0.01396
uc1.b4578709	Moses, Belle.		Lewis Carroll in wonderland and at home	1910		New York;D. Appleton;1910.	Moses, Belle | Lewis Carroll in Wonderland and at Home	<blank>	35418							bio		f			morgan	gutenbiotrimmed	Trimmed	True	0.03734	0.010275999999999999
mdp.39015061869783	Tappan, Eva March	1854-1930.	In the days of Queen Victoria	1903	1903.0	Boston;Lothrop, Lee & Shepar	Tappan, Eva March | In the Days of Queen Victoria		35576	0.946645488	0.953814559	Novel|Juvenile audience	1819-1901|Queen of Great Britain|Victoria		1.0	bio		f			wenyi	gutenbiotrimmed	Trimmed	True	0.009623999999999997	0.011086
mdp.39015005892362	Cruttwell, Maud.		Luca Signorelli	1899		London;G. Bell & sons;1899.	Cruttwell, Maud | Luca Signorelli	<blank>	27759							bio		f			morgan	gutenbiotrimmed	Trimmed	True	0.19760333333333335	0.007966666666666667
uva.x000982309	Hawthorne, Nathaniel	1804-1864	True Stories of History and Biography	1851	1851.0	Boston: Ticknor, Reed, and Fields			15697							bio|c19		m						True	0.043399999999999994	0.011396
nyp.33433082396866	Keller, Elizabeth Leavitt	-1839	Walt Whitman in Mickle Street	1921	1921.0	New York;M. Kennerley;1921.	Keller, Elizabeth Leavitt | Walt Whitman in Mickle Street		42281	0.905685049	0.027263592		1819-1892|Whitman, Walt		3.0	bio		m			peizhen	gutenbiotrimmed	Trimmed	True	0.04236	0.014256666666666667
nyp.33433009332259	Harrison, James		The life of the Right Honourable Horatio, lord viscount Nelson: baron Nelson of the Nile. Vol. 1.	1806	1806.0			1	16912							bio		m			ted	18cgutenbergtrimmed	Trimmed	True	0.03397571428571428	0.01616
njp.32101067407930	Reresby, John	1638-1689	The Memoirs of the Honourable Sir John Reresby, Bart	1734	1734.0				RereJMHbio							bio|c18		m						True	0.08783666666666667	0.024358333333333333
loc.ark+=13960=t08w40x2t	Miller, Florence Fenwick,		Harriet Martineau	1885		Boston;Roberts Brothers;1885	Miller, Florence Fenwick | Harriet Martineau	<blank>	36965							bio		f			morgan	gutenbiotrimmed	Trimmed	True	0.0496	0.016452
uc1.b3247650	Farrar, Geraldine.		Geraldine Farrar	1916		Boston-New York;Houghton, Mi	Farrar, Geraldine | Geraldine Farrar	<blank>	32835							bio		f			morgan	gutenbiotrimmed	Trimmed	True	0.07461000000000001	0.014775
loc.ark+=13960=t12n5c08j	Mixson, Frank M		Reminiscences of a private	1910	1910.0	Columbia, S.C.;The State com	Mixson, Frank M. | Reminiscences of a Private		41616	0.74134766	0.025285892		Personal narratives, Confederate|Army|United States|South Carolina Infantry Regiment, 1st|Confederate States of America|Civil War, 1861-1865|History|South Carolina infantry|1st regiment (Hagood's) 1861-1862		2.0	bio		m			wenyi	gutenbiotrimmed	Trimmed	True	0.025724999999999998	0.00828
loc.ark+=13960=t9s188v5q	Thwaites, Reuben Gold,		Daniel Boone	1903		New York;D. Appleton & Compa	Thwaites, Reuben Gold | Daniel Boone	<blank>	39927							bio		m			morgan	gutenbiotrimmed	Trimmed	True	0.2272075	0.02388
uc2.ark+=13960=fk87h1f544	Johnson, Willis Fletcher,		Colonel Henry Ludington	1907		New York;Printed by his gran	Johnson, Willis Fletcher | Colonel Henry Ludington	<blank>	58125							bio		m			wenyi	gutenbiotrimmed	Trimmed	True	0.08319399999999999	0.019718
uc2.ark+=13960=t43r0rx70	Allen, Grant		Charles Darwin	1885		New York;D. Appleton and Com	Allen, Grant | Charles Darwin	<blank>	34730							bio		m			morgan	gutenbiotrimmed	Trimmed	True	0.034275	0.0116825
njp.32101068140779	Brown, E. E.		Life of Oliver Wendell Holmes	1884		Boston;D. Lothrop and Compan	Brown, E. E. | Life of Oliver Wendell Holmes	<blank>	37878							bio		u			morgan	gutenbiotrimmed	Trimmed	True	0.0308775	0.014169999999999999
njp.32101079814040	Cumberland, Richard	1732-1811	Anecdotes of Eminent Painters in Spain, vol. 1	1782	1782.0	London: J Walter			CumbRAEbio							bio|c18		m						True	0.040725	0.06348
njp.32101066163518	Morris, Clara,		Life on the stage	1901		New York;McClure, Phillips;1	Morris, Clara | Life on the Stage	<blank>	33537							bio		f			morgan	gutenbiotrimmed	Trimmed	True	0.022356666666666667	0.009631111111111111
nnc1.0035536543	Oldys, William	1696-1761	The Life of Dr. George Abbot, Lord Archbishop	1777	1777.0	Guildford: J. Russell			OldyWLDbio							bio|c18		m						True	0.0471975	0.0324475
mdp.69015000002903	Gronniosaw, James Albert		A narrative of the most remarkable particulars in the life of James Albert Ukawsaw Gronniosaw, an African prince, as related by himself	1772	1785.0				15042							bio		m			ted	18cgutenbergtrimmed	Trimmed	True	0.04057	0.1336
uiuo.ark+=13960=t10p0zd5b	Perryman, F. M		Pioneer life in Illinois	1907	1907.0	Pana, Ill.;Kerr's Printing H	Perryman, F. M. | Pioneer Life in Illinois		48637	0.314759887	0.684344501		Illinois|Shelby County (Ill.)|Social life and customs|Frontier and pioneer life		1.0	bio		m			morgan	gutenbiotrimmed	Trimmed	True	0.02748	0.00759
njp.32101076477684	Barine, Arvède,		Bernardin de St. Pierre	1893		London;T. Fisher Unwin;1893.	Barine, Arvède | Bernardin de St. Pierre	<blank>	58723							bio		u			morgan	gutenbiotrimmed	Trimmed	True	0.06166	0.0087475
uc1.b3983967	O'Neil, Owen Rowe		Adventures in Swaziland;	1921	1921.0	New York;Century Co.;1921.	O'Neil, Owen Rowe | Adventures in Swaziland		38447	0.473317961	0.621720002				4.0	bio		m			wenyi	gutenbiotrimmed	Trimmed	True	0.008954285714285715	0.00825857142857143
mdp.39015013747905	Bond, William	d. 1735	The History of the Life and Adventures of Mr Duncan Campbell	1720	1720.0	London, Printed for E. Curll, and sold by W. Mears			BondWHLbio							bio|c18		m						True	0.07404833333333333	0.037770000000000005
mdp.39015031233326	Blind, Mathilde,		George Eliot	1883		Boston;Roberts brothers;1883	Blind, Mathilde | George Eliot	<blank>	36847							bio		f			morgan	gutenbiotrimmed	Trimmed	True	0.03855	0.020701999999999998
wu.89091873059	Marshall, Julian, Mrs		The Life and Letters of Mary Wollstonecraft Shelley, vol 1	1889	1889.0				37955							bio|c19		f						True	0.06871875	0.008977500000000001
uc2.ark+=13960=t8df6pw88	Burney, Frances	1752-1840.	Fanny Burney and her friends	1890	1890.0	New York;Scribner and Welfor	Burney, Fanny | Fanny Burney and her Friends		57472	0.363312856	0.32926004		Burney, Fanny|Social conditions|19th century|1752-1840|18th century		2.0	bio		m			morgan	gutenbiotrimmed	Trimmed	True	0.03685625	0.01570125
loc.ark+=13960=t5x64c55b	Kennard, Nina H.,		Lafcadio Hearn	1912		New York;D. Appleton and com	Kennard, Nina H. | Lafcadio Hearn	<blank>	33345							bio		f			morgan	gutenbiotrimmed	Trimmed	True	0.07346749999999999	0.0167325
nyp.33433009332267	Harrison, James		The life of the Right Honourable Horatio, lord viscount Nelson: baron Nelson of the Nile. Vol. 1.	1806	1806.0			2	16913							bio		m			ted	18cgutenbergtrimmed	Trimmed	True	0.012773333333333334	0.017
