docid	author	authordate	title	latestcomp	hathidate	imprint	gutenstring	enumcron	gbindex	nonficprob	juvenileprob	LOCgenres	LOCsubjects	contents	instances	genre	audience	authgender	multiplehtids	comments	coder	Folder	Trimmed	isbio	passagefails	worderrors
uc1.b4105458	Morrison, Arthur	1863-1945.	A child of the Jago	1896	1896.0	Chicago;H. S. Stone;1896.	Morrison, Arthur | A Child of the Jago		36958	0.461919253	0.250847017	Bibliographies	Slums|London|England|Boys|Social life and customs|19th century		2.0	fic	juv	m			wenyi			False	0.010977500000000001	0.01221
inu.30000115426474	Fielding, Henry	1707-1754	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams	1742	1743.0			1	9611							fic		m	n	two volumes	m	18cgutenbergtrimmed	Trimmed	False	0.20299399999999998	0.154108
uc2.ark+=13960=t50g3k86n	Harland, Henry	1861-1905.	My Uncle Florimond	1888	1888.0	Boston;D. Lothrop;c1888.	Harland, Henry | My Uncle Florimond		50698	0.117510988	0.249800316				1.0	fic | historical		m			peizhen	gutenfictiontrimmed	Trimmed	False	0.06437999999999999	0.008900000000000002
osu.32435002999571	Kennedy, John Pendleton	1795-1870.	Horse-shoe Robinson	1835	1835.0	London;Bentley;1835.	Kennedy, John Pendleton | Horse-Shoe Robinson	vol.1	33478	0.161252539	0.020985954	Bibliographies	Revolution, 1775-1783|History		1.0	fic | historical		m			peizhen	gutenfictiontrimmed	Trimmed	False	0.02272	0.010314615384615386
dul1.ark+=13960=t6d22ng55	Smollett, Tobias	1721-1771	The History and Adventures of an Atom, vol. 2	1769	1769.0	London: Robinson			SmolTHA2fic							fic|c18		m						False	0.050355	0.17323
uc2.ark+=13960=t3707x24f	Garland, Hamlin	1860-1940.	Rose of Dutcher's Coolly	1895	1895.0	Chicago;Stone & Kimball;1895	Garland, Hamlin | Rose of Dutcher's Coolly		35805	0.042509493	0.029854673	Domestic fiction|Bibliographies|Bildungsromans	Rural families|Widowers|Farm life|Young women|Women poets|Fathers and daughters		1.0	fic		m			peizhen			False	0.0027916666666666667	0.008614999999999998
njp.32101068141702	Lever, Charles James	1806-1872.	Jack Hinton	1872	1872.0	London;Chapman & Hall;1872.	Lever, Charles James | Jack Hinton		33082	0.117923023	0.011095875			New ed.	1.0	fic		m			peizhen			False	0.009719285714285713	0.008187142857142858
nyp.33433074902234	Molesworth, Mrs	1842-1921.	Hathercourt	1878	1878.0	New York;H. Holt & Co.;1878.	Molesworth, Mrs. | Hathercourt		43168	0.016398216	0.081030673		English fiction		1.0	fic	juv	f			wenyi			False	0.012813333333333333	0.010291111111111112
nyp.33433084128879	Bates, Arlo	1850-1918.	Albrecht	1890	1890.0	Boston;Roberts;c1890	Bates, Arlo | Albrecht		41764	0.0	0.0				2.0	fic		m			ted	gutenfictiontrimmed	Trimmed	False	0.06061999999999999	0.00817
nyp.33433074895347	Manning, Anne	1807-1879.	The household of Sir Thomas More	1852	1852.0	New York;C. Scribner;1852.	Manning, Anne | The Household of Sir Thomas More		45187	0.097518303	0.188370622		Sir, Saint|1478-1535|Roper, Margaret|Saint|1505-1544|More, Thomas		1.0	fic		f			peizhen			False	0.1474	0.018803333333333335
inu.32000002547547	Sharp, Evelyn	1869-1955.	Rebel women	1910	1910.0	London|United Suffragists|n.	Sharp, Evelyn | Rebel women		42136	0.353694625	0.009152689		Women	"New ed.,|with introd by Elizabeth Robins.|The women at the gate.--To prison while the sun shines.--Shaking hands with the middle ages.--Filling the war chest.--The conversion of Penelope's mother.--At a street corner.--The crank of all the ages.--Patrolling the gutter.--The black spot of the constituency.--""Votes for women--forward!""--The person who cannot escape.--The daughter who stays at home.--The game that wasn't cricket.--Dissension in the home."	1.0	fic		f			wenyi	gutenfictiontrimmed	Trimmed	False	0.014835000000000001	0.014794999999999999
uc2.ark+=13960=t0ks6kp3q	Kelly, Florence Finch	1858-1939.	The fate of Felix Brand	1913	1913.0	Philadelphia;The John C. Win	Kelly, Florence Finch | The Fate of Felix Brand		30733	0.063694316	0.117287839				1.0	fic		f			peizhen	gutenfictiontrimmed	Trimmed	False	0.006536	0.008128
inu.30000115426458	Fielding, Henry	1707-1754	The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams	1742	1743.0			2	9609							fic		m	n	two volumes	ted	18cgutenbergtrimmed	Trimmed	False	0.028328000000000002	0.150914
uiuo.ark+=13960=t7xk8zr2d	Sinclair, Catherine	1800-1864.	Modern flirtations	1841	1841.0	Edinburgh;W. Whyte and Co.;1	Sinclair, Catherine | Modern Flirtations	v.2	43358	0.028076791	0.082017776		Scottish authors|English fiction		3.0	fic | romance		f			wenyi			False	0.012394	0.023403999999999998
njp.32101068169471	Galt, John	1779-1839.	Ringan Gilhaize	1899	1823.0	Glasgow, Dunn [1823?]	Galt, John | Ringhan Gilhaize; or, The covenanters.		30749	0.40254643	0.164182967				1.0	fic | historical		m			peizhen	gutenfictiontrimmed	Trimmed	False	0.027446000000000005	0.013850000000000001
njp.32101063581829	King, Charles	1844-1933.	A trooper Galahad	1899	1899.0	Philadelphia;J.B. Lippincott	King, Charles | A Trooper Galahad		37688	0.076586777	0.001533846				3.0	fic | historical		m			peizhen			False	0.0557575	0.0112775
uc2.ark+=13960=t7pn8z40w	Parkman, Francis	1823-1893.	Vassall Morton	1856	1856.0	Boston;Phillips, Sampson;185	Parkman, Francis | Vassall Morton		39768	0.10748653	0.017781037				3.0	fic		m			wenyi			False	0.026577142857142858	0.007844285714285715
uc2.ark+=13960=t7wm15j6h	Gibbs, George	1870-1942.	The love of Monsieur	1903	1903.0	New York;Grosset & Dunlap;c1	Gibbs, George | The Love of Monsieur		51468	0.017835046	0.002150868				1.0	fic | romance		m			peizhen	gutenfictiontrimmed	Trimmed	False	0.03295	0.011635000000000001
coo1.ark+=13960=t2t447q6w	Boldrewood, Rolf	1826-1915.	Nevermore	1892	1892.0	London and New York, Macmillan and co., 1892.	Boldrewood, Rolf | Nevermore		34240	0.134306326	0.000998272				2.0	fic		m			ted			False	0.09818	0.009523
dul1.ark+=13960=t9184177s	Smollett, Tobias	1721-1771	The History and Adventures of an Atom, vol. 1	1769	1769.0	London: Robinson			SmolTHAfic							fic|c18		m						False	0.055073333333333335	0.17340999999999998
mdp.39076002576069	Lester, Pauline		Marjorie Dean Macy	1926	1926.0	New York|A.L. Burt|c1926.	Lester, Pauline | Marjorie Dean Macy		53637	0.241473543	0.976658872	Juvenile audience	Conduct of life|Weddings|College stories|Young women|College students|Man-woman relationships|Juvenile fiction|Friendship|Dormitories		1.0	fic	juv	f			peizhen	gutenfictiontrimmed	Trimmed	False	0.030525	0.0241375
mdp.39015063516184	Catherwood, Mary Hartwell	1847-1902.	The romance of Dollard	1889	1889.0	New York;The Century co.;188	Catherwood, Mary Hartwell | The Romance of Dollard		50418	0.298529539	0.066789442	History	Canada|History|1635-1660|Dollard des Ormeaux, Adam|History		2.0	fic | historical		f			ted			False	0.043522500000000006	0.010762500000000001
mdp.39015059395734	Bates, Arlo	1850-1918.	Patty's perversities	1881	1881.0	Boston;J. R. Osgood;1881.	Bates, Arlo | Patty's Perversities		48396	0.078477946	0.03068455				2.0	fic		m			ted	gutenfictiontrimmed	Trimmed	False	0.05264599999999999	0.008854
wu.89008505000	Gautier, Th¨¦ophile	1811-1872.	The Romance of a Mummy and Egypt	1872	1903.0	New York;The Jenson society.	Gautier, Theophile | The Works of Theophile Gautier, Volume 5		27724	0.21984002	0.036874839				1.0	fic | historical		m	y		peizhen			False	0.045978	0.01244
uc2.ark+=13960=t8df6m76z	Ogden, Antoinette		Christmas stories from French and Spanish writers	1892	1892.0	Chicago;A. C. McClurg and co	Ogden, Antoinette | Christmas Stories from French and Spanish writers		47333	0.148249278	0.01798843		Christmas stories		1.0	fic | folklore | short		f			wenyi			False	0.007794999999999999	0.0127475
uc2.ark+=13960=t0vq2sk6k	Auerbach, Berthold	1812-1882.	Landolin	1878	1878.0	New York;H. Holt and company	Auerbach, Berthold | Landolin		33008	0.0	0.0				2.0	fic		m			ted			False	0.013215	0.0103725
nyp.33433074942701|nyp.33433074942719	Cooper, James Fenimore	1789-1851	The Pathfinder; or, the Inland Sea	1840	1840.0				1880							fic|historical		m	y	two volumes	ted	18cgutenbergtrimmed	Trimmed	False	0.03552230769230769	0.011078461538461539
mdp.39015078562108|mdp.39015078562298	Paltock, Robert	1697-1767	The life and adventures of Peter Wilkins	1751	1751.0				51967							fic		m	y	two volumes	m	18cgutenbergtrimmed	Trimmed	False	0.040598	0.131034
nyp.33433074940309	Black, William	1841-1898.	A princess of Thule	1873	1873.0	New York;Harper;1873.	Black, William | A Princess of Thule		49786	0.033153767	0.112603195		Scottish authors|English fiction		1.0	fic		m			ted			False	0.013154615384615383	0.008925384615384615
uc2.ark+=13960=t9z03158m	Brooks, Amy		Dorothy Dainty at the mountains	1911	1911.0	Boston;Lothrop, Lee & Shepar	Brooks, Amy | Dorothy Dainty at the Mountains		30088	0.038187277	0.996850361				1.0	fic	juv	f			ted	gutenfictiontrimmed	Trimmed	False	0.07078	0.009275
uc2.ark+=13960=t7pn8z31x	Hawthorne, Nathaniel	1804-1864.	Little masterpieces	1864	1897.0	New York;Doubleday & McClure	Hawthorne, Nathaniel | Little Masterpieces		39716	0.318636863	0.011008272				1.0	fic | short		m			peizhen			False	0.02585	0.015333333333333332
uc2.ark+=13960=t6639mx28	Dix, Beulah Marie	1876-1970.	Hugh Gwyeth;	1899	1899.0	New York;The Macmillan Compa	Dix, Beulah Marie | Hugh Gwyeth		52962	0.057701511	0.12717486		Great Britain|History|Civil War, 1642-1649		1.0	fic | historical	juv	f			morgan	gutenfictiontrimmed	Trimmed	False	0.015247142857142858	0.0077371428571428565
uc2.ark+=13960=t78s4tc10	Kavanagh, Julia	1824-1877.	Rachel Gray	1856	1856.0	New York;Appleton;1856.	Kavanagh, Julia | Rachel Gray		36160	0.0	0.0				2.0	fic		f			peizhen			False	0.074475	0.0260675
uc2.ark+=13960=t0pr7mw0b	Lewis, Alfred Henry	1857-1914.	The Apaches of New York	1912	1912.0	Chicago;M. A. Donohue & Co.;	Lewis, Alfred Henry | The Apaches of New York		51909	0.123455518	0.14729585				1.0	fic | mystery		m			peizhen	gutenfictiontrimmed	Trimmed	False	0.007635	0.009275
dul1.ark+=13960=t9572983r	Ingoldsby, Thomas	1788-1845.	The Ingoldsby legends	1845	1848.0	New York;Scribner and Welfor	Ingoldsby, Thomas | The Ingoldsby Legends		59236	0.503664054	0.030338168				1.0	fic | short		m			peizhen	gutenfictiontrimmed	Trimmed	False	0.04633461538461539	0.01018153846153846
uc2.ark+=13960=t5m904841	Stredder, Eleanor		Alive in the jungle	1892	1892.0	London;New York;T. Nelson;18	Stredder, Eleanor | Alive in the Jungle		43595	0.06108237	0.960810936				1.0	fic	juv	f			wenyi			False	0.008136666666666667	0.007956666666666666
mdp.39015030753944	Jewett, Sarah Orne	1849-1909.	Strangers and wayfarers	1890	1890.0	Boston;New York;Houghton, Mi	Jewett, Sarah Orne | Strangers and Wayfarers		31857	0.160980072	0.035983445		Social life and customs|Social life and customs|19th century	A winter courtship.--The mistress of Sydenham plantation.--The town poor.--The quest of Mr. Teaby.--The luck of the Bogans.--Fair day.--Going to Shrewsbury.--The taking of Captain Ball.--By the morning boat.--In dark New England days.--The white rose road.	3.0	fic | short		f			peizhen			False	0.012865	0.00953
inu.30000115371209	Burney, Frances	1752-1840	Cecilia, or Memoirs of an Heiress, vol. 1	1782	1782.0	London: T payne			BurnFCOfic							fic|c18		f						False	0.026820000000000004	0.1702725
umn.31951d015921323	Pu, Songling	1640-1715.	Strange stories from a Chinese studio	1740	1908.0	London;T. Werner Laurie;1916	Pu, Songling | Strange Stories from a Chinese Studio Vol. II (of 2)		43628	0.517125231	0.370130585	Bibliographies		3d. ed., rev.	1.0	fic | folklore | mystery | short		m			ted			False	0.15376250000000002	0.021587500000000003
hvd.hwspyj	Zschokke, Heinrich	1771-1848	The Bravo of Venice	1805	1805.0				2706							fic|historical		m	n		ted	18cgutenbergtrimmed	Trimmed	False	0.04626333333333333	0.022770000000000002
mdp.39015033444939	Rolland, Romain	1866-1944.	Pierre and Luce	1922	1922.0	New York;Henry Holt and comp	Rolland, Romain | Pierre and Luce		31542	0.056309643	0.100981926				2.0	fic | romance		m			wenyi	gutenfictiontrimmed	Trimmed	False	0.016375	0.009655
hvd.hn1ynr|hvd.hn1ynq	Smollett, Tobias	1721-1771	The expedition of Humphry Clinker	1771	1793.0				2160							fic		m	y	two volumes	m	18cgutenbergtrimmed	Trimmed	False	0.023126363636363636	0.15651363636363638
njp.32101072858358	Dickens, Charles	1812-1870.	Mugby Junction	1870	1898.0	London;Chapman and Hall;1898	Dickens, Charles | Mugby Junction		27924	0.468258198	0.173336996	Bibliographies	Railroad stations|London|England	Barbox Brothers ; Barbox Brothers & Co. ; Main line ; No. 1 Branch line / by C. Dickens -- No. 2 Branch line / by A. Halliday -- No. 3 Branch line / by C. Collins -- No. 4 Branch line / by H. Stretton -- No. 5 Branch line / by A.B. Edwards.	1.0	fic | short		m			morgan			False	0.006266666666666667	0.007933333333333334
uva.x000982662	Valera, Juan	1824-1905.	Pepita Ximenez	1891	1891.0	New York;Appleton;1891.	Valera, Juan | Pepita Ximenez		30236	0.365225918	0.000603949			New ed.	1.0	fic | romance		m			peizhen			False	0.128946	0.01879
nyp.33433082539945	Hawley, Mabel C		Four little Blossoms at Brookside Farm	1920	1920.0	New York;G. Sully & Co.;c192	Hawley, Mabel C. | Four Little Blossoms at Brookside Farm		29598	0.155219029	0.998889987	Juvenile audience			2.0	fic	juv	m			peizhen	gutenfictiontrimmed	Trimmed	False	0.013555	0.00958
uc1.$b441023	Trollope, Anthony	1815-1882.	Sir Harry Hotspur of Humblethwaite	1871	1871.0	Leipzig;B. Tauchnitz;1871.	Trollope, Anthony | Sir Harry Hotspur of Humblethwaite		27712	0.04051498	0.000478342	Bibliographies	Fathers and daughters|Inheritance and succession	Copyright ed.	2.0	fic | romance		m			peizhen	gutenfictiontrimmed	Trimmed	False	0.17615333333333336	0.014271666666666667
dul1.ark+=13960=t9x06zn4z	Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705	1650-1705	The Prince of Carency;	1705	1719.0				AulnMHJfic							fic		f	n	same translator	ted			False	0.02529142857142857	0.15830142857142857
uiuo.ark+=13960=t0pr84q15|uiuo.ark+=13960=t74t6zh4r	Defoe, Daniel	1661-1731	Life of Colonel Jack.	1731	1810.0				52603							fic		m	y	two volumes	m	18cgutenbergtrimmed	Trimmed	False	0.031205555555555556	0.014411111111111112
nc01.ark+=13960=t23b6gc16	Douglas, Amanda Minnie	1831-1916.	Kathie's soldiers	1877	1877.0	Boston;Lee and Shepard;1877;	Douglas, Amanda Minnie | Kathie's Soldiers		40525	0.115029483	0.688278047				1.0	fic	juv	f			morgan			False	0.008764999999999998	0.023942500000000002
uc2.ark+=13960=t1jh3d93s	Crim, Matt		In Beaver Cove and elsewhere	1892	1892.0	New York;C. L. Webster & co.	Crim, Matt | In Beaver Cove and Elsewhere		54351	0.054401863	0.01318699				1.0	fic|short		unknown						False	0.0402	0.0101725
nc01.ark+=13960=t1cj8ws1k	Optic, Oliver	1822-1897.	Brave Old Salt;	1866	1866.0	Boston;Lee and Shepard;New Y	Optic, Oliver | Brave Old Salt		37907	0.092795791	0.715589825				1.0	fic		m			wenyi			False	0.028746000000000004	0.015816000000000004
nyp.33433034410336	Montgomery, Florence	1843-1923.	Misunderstood	1882	1882.0	London;Richard Bentley;1882.	Montgomery, Florence | Misunderstood		55222	0.410361566	0.44399801		English fiction	18th ed.	1.0	fic	juv	f			wenyi	gutenfictiontrimmed	Trimmed	False	0.014806666666666668	0.007713333333333333
uc2.ark+=13960=t25b09s9q	Lagerl?f, Selma		From a Swedish homestead	1901	1901.0	New York;Doubleday, Page;191	Lagerl?f, Selma | From a Swedish Homestead		44630	0.193558488	0.02793441		Br?chner, Jessie|Social life and customs|tr		1.0	fic | folklore | short		f			peizhen	gutenfictiontrimmed	Trimmed	False	0.0042049999999999995	0.00998
uc2.ark+=13960=t0qr4pz26	Graydon, William Murray	1864-1946.	In the days of Washington;	1896	1896.0	Philadelphia;The Penn publis	Graydon, William Murray | In the Days of Washington		41420	0.190065159	0.026022704		Revolution, 1775-1783|United States|American fiction|History		1.0	fic | historical		m			peizhen			False	0.0051825	0.009982499999999998
njp.32101076058054|njp.32101076058062|njp.32101076058070	Fielding, Henry	1707-1754	Amelia	1754	1793.0				6098							fic		m	y	three volumes	m	18cgutenbergtrimmed	Trimmed	False	0.020479333333333335	0.14777733333333334
nyp.33433074925987|nyp.33433074925995	Thomas, Amory	1691?-1788?	The life of John Buncle, esq.	1766	1766.0				amory.01							fic		m	y	two volumes	m			False	0.05654894736842107	0.14906105263157893
nyp.33433074948559	Lennox, Charlotte	1729-1804	The Female Quixote, vol. 2	1752	1752.0	London: A Millar			LennCFQ2fic							fic|c18		f						False	0.03385166666666666	0.051094999999999995
njp.32101036893236	Mackenzie, Henry	1745-1831	The Man of Feeling	1771	1780.0				5083							fic		m	n		ted	18cgutenbergtrimmed	Trimmed	False	0.028013333333333335	0.15302
uc2.ark+=13960=t5z60ck60	Potter, Margaret Horton	1881-1911.	Istar of Babylon	1902	1902.0	New York;and London;Harper &	Potter, Margaret Horton | Istar of Babylon		38710	0.208158695	0.093072301				1.0	fic | historical		f			wenyi	gutenfictiontrimmed	Trimmed	False	0.0094275	0.015611666666666664
mdp.39015066063184	Shelley, Mary Wollstonecraft	1797-1851.	Tales and stories	1851	1891.0	London;W. Paterson & Co.;189	Shelley, Mary Wollstonecraft | Tales and Stories		56665	0.073881678	0.046096947	Bibliographies	Science fiction		1.0	fic | short		f			wenyi	gutenfictiontrimmed	Trimmed	False	0.024758888888888886	0.007592222222222222
uc2.ark+=13960=t5gb26133	Lever, Charles James	1806-1872.	Barrington	1863	1863.0	London, Eng.;Chapman and Hal	Lever, Charles James | Barrington		34883	0.103272669	0.003267541				2.0	fic		m			peizhen			False	0.1556442857142857	0.02095
nyp.33433074902283	Molesworth, Mrs	1842-1921.	Philippa	1896	1896.0	Philadelphia;J.B. Lippincott	Molesworth, Mrs. | Philippa		43169	0.047849776	0.012301222	Juvenile audience	English fiction		1.0	fic	juv	f			wenyi	gutenfictiontrimmed	Trimmed	False	0.03539	0.008190000000000001
uc1.b3216573	Catherwood, Mary Hartwell	1847-1902.	The story of Tonty	1890	1890.0	Chicago;A. C. McClurg and co	Catherwood, Mary Hartwell | The Story of Tonty		41273	0.105504199	0.012822406		sieur de|La Salle, Robert Cavelier|d. 1704|1643-1687|Tonti, Henri de		1.0	fic | historical		f			ted			False	0.051045	0.01153
uc2.ark+=13960=t1gh9cr0d	Rathborne, St. George	1854-1938.	Miss Fairfax of Virginia;	1899	1899.0	New York;Street & Street;c18	Rathborne, St. George | Miss Fairfax of Virginia		52599	0.096505858	0.006118589				2.0	fic | romance		m			wenyi	gutenfictiontrimmed	Trimmed	False	0.0018850000000000002	0.010828333333333334
uc2.ark+=13960=t9474d36n	Stevenson, Robert Louis	1850-1894.	Kidnapped;	1886	1886.0	New York;Charles Scribner's	Stevenson, Robert Louis | Kidnapped		56562	0.053275113	0.264777378	Bibliographies|Historical fiction	Teenage boys|1700 - 1799|Adventure stories|18th century|(OCoLC)fst00797462|Disinheritance|History|Kidnapping victims|(OCoLC)fst01206715|Jacobites|History		1.0	fic | historical	juv	m			wenyi	gutenfictiontrimmed	Trimmed	False	0.07904666666666667	0.013901666666666668
uc1.$b85950	Bennett, Arnold	1867-1931.	Riceyman Steps	1923	1923.0	New York|G.H. Doran Co.|c192	Bennett, Arnold | Riceyman Steps		58666	0.052266533	0.011215581				2.0	fic		m			ted	gutenfictiontrimmed	Trimmed	False	0.009665714285714286	0.011558571428571428
mdp.39015056795308|mdp.39015056795316|mdp.39015056795324|mdp.39015056795332|mdp.39015056795340|mdp.39015056795191	Fielding, Henry	1707-1754	The history of Tom Jones: a foundling	1754	1749.0				6593							fic		m	y	six volumes	m	18cgutenbergtrimmed	Trimmed	False	0.0522075	0.16780178571428572
nyp.33433074955109	Radcliffe, Ann Ward	1764-1823	The Sicilian Romance, vol. 1	1790	1792.0	London: T Hookham			RadcASRfic							fic|c18		f						False	0.00647	0.04641
njp.32101019691409	Gaskell, Elizabeth Cleghorn	1810-1865.	Cranford	1853	1853.0	New York;Harper & brothers;1	Gaskell, Elizabeth Cleghorn | Cranford		57539	0.445360893	0.201011459	English fiction|Novel|Pastoral fiction|Bibliographies|Domestic fiction	English fiction|Social life and customs|Older women|Female friendship|Sisters|Villages		1.0	fic		f			peizhen	gutenfictiontrimmed	Trimmed	False	0.032948	0.016444000000000004
nyp.33433082547310	Gregor, Elmer Russell	-1878	Running Fox	1918	1918.0	New York;London;D. Appleton	Gregor, Elmer Russell | Running Fox		43864	8.51e-05	0.999289328	Juvenile audience	Indians of North America		1.0	fic	juv	m			peizhen	gutenfictiontrimmed	Trimmed	False	0.0062875	0.01391
dul1.ark+=13960=t7sn0xk3n|dul1.ark+=13960=t9d51cj57	Haywood, Eliza Fowler	1693?-1756	The history of Miss Betsy Thoughtless	1752	1752.0				46346							fic		f	y	two volumes	m	18cgutenbergtrimmed	Trimmed	False	0.03551833333333333	0.1684011111111111
njp.32101012099493	Ainsworth, William Harrison	1805-1882.	Guy Fawkes	1882	1900.0	Philadelphia;G. Barrie;1900?	Ainsworth, William Harrison | Guy Fawkes	v.19	37750	0.122106416	0.118600266		Fawkes, Guy|1570-1606|Gunpowder Plot, 1605	Library ed.|v. 1. Windsor Castle.--v. 2. Crichton.--v. 3. Jack Sheppard.--v. 4. The Constable of the Tower.--v. 5-6. The Tower of London.--v. 7. Boscobel. --v. 8. The Constable de Bourbon.--v. 9-10. Old Saint Paul's.--v. 11. Cardinal Pole.--v. 12. The Manchester rebels.--v. 13. The Lord Mayor of London.--v. 14. The goldsmith's wife.--v. 15. John Law.--v. 16. Talbot Harland.--v. 17. Saint James's.--v. 18. The star-chamber.--v. 19. Guy Fawkes.--v. 20. Rockwood.	1.0	fic | historical		m			ted			False	0.03538333333333333	0.010667500000000002
nyp.33433082365515	Defoe, Daniel	1661-1731	Memoirs of the Honourable Col. Andrew Newport, a Shropshire gentleman, who served as a cavalier	1731	1792.0				12259							fic | historical		m	n		m	18cgutenbergtrimmed	Trimmed	False	0.09344857142857144	0.13270285714285715
uc2.ark+=13960=t5k93292h	Finley, Martha	1828-1909.	Mildred Keith	1876	1876.0	New York: Dodd, Mead			42870							fic|c19		f						False	0.04523200000000001	0.019348
uc2.ark+=13960=t40s0065x	Alcock, Deborah	1835-1913.	The Spanish brothers	1888	1891.0	London ; New York;T. Nelson;	Alcock, Deborah | The Spanish Brothers		44262	0.064588784	0.179853718				1.0	fic | historical		f			ted	gutenfictiontrimmed	Trimmed	False	0.03187222222222222	0.01074
uc1.$b249254	Gunter, Archibald Clavering	1847-1907.	Miss Dividends	1892	1892.0	New York;Home Publishing Com	Gunter, Archibald Clavering | Miss Dividends		39824	0.246704001	0.031966565				2.0	fic		m			peizhen			False	0.004853333333333333	0.009771666666666666
uiuo.ark+=13960=t76t1d659|uiuo.ark+=13960=t9c54bg48|uiuo.ark+=13960=t4dn4vz8f	Marryat, Frederick	1792-1848	Peter Simple	1833	1834.0				21577							fic	juv	m	y	three volumes	ted	18cgutenbergtrimmed	Trimmed	False	0.12029071428571432	0.011395
uc2.ark+=13960=t2m61bw05	Habberton, John	1842-1921.	Trif and Trixy	1897	1897.0	Philadelphia;H. Altemus;1897	Habberton, John | Trif and Trixy		51788	0.014777231	0.081326641				1.0	fic		m			peizhen	gutenfictiontrimmed	Trimmed	False	0.072855	0.008715
inu.30000115370896	Haywood, Eliza Fowler	1693?-1756	Life's Progress Through the Passions; Or, The Adventures of Natura	1748	1748.0				15455							fic		f	n		m	18cgutenbergtrimmed	Trimmed	False	0.041494	0.15383999999999998
uc2.ark+=13960=t85h7j691	Sienkiewicz, Henryk	1846-1916.	Let us follow Him	1897	1897.0	Boston;Little, Brown and com	Sienkiewicz, Henryk | Let us follow Him		41988	0.244971107	0.000864523				3.0	fic | historical		m			wenyi			False	0.03025	0.01531
nc01.ark+=13960=t6d22qq35	Page, Thomas Nelson	1853-1922.	Red Rock;	1899	1899.0	New York;C. Scribner's sons;	Page, Thomas Nelson | Red Rock		49648	0.22473453	0.04530249		Reconstruction (U.S. history, 1865-1877)		2.0	fic | historical		m			wenyi	gutenfictiontrimmed	Trimmed	False	0.015563571428571428	0.019172142857142856
uc2.ark+=13960=t0qr4q764	Burnham, Clara Louise	1854-1927.	The Inner Flame	1912	1912.0	New York;Grosset & Dunlap;19	Burnham, Clara Louise | The Inner Flame		52240	0.049576413	0.158935648				1.0	fic		f			ted	gutenfictiontrimmed	Trimmed	False	0.01781857142857143	0.00886
uc2.ark+=13960=t8tb0zf3r	Stocking, Charles Francis	b. 1873.	Carmen Ariza	1918	1918.0	Chicago;The Maestro Co.;1918	Stocking, Charles Francis | Carmen Ariza		30312	0.078866456	0.005103782				1.0	fic		m			wenyi	gutenfictiontrimmed	Trimmed	False	0.004841874999999999	0.0116709375
uc2.ark+=13960=t4qj7df3t	Reid, Mayne	1818-1883.	The Vee-Boers	1870	1885.0	London;New York;G. Routledge	Reid, Mayne | The Vee-Boers		34667	0.416429719	0.273740249				1.0	fic		m			wenyi			False	0.02911666666666667	0.01446
dul1.ark+=13960=t2h713c5c	Griffith, George Chetwynd		Olga Romanoff	1897	1897.0	London;Simpkin, Marshall, Ha	Griffith, George Chetwynd | Olga Romanoff		54096	0.260586572	0.033994905		Utopias|Robinson, Ernest|Provenance		1.0	fic | sf		m			peizhen	gutenfictiontrimmed	Trimmed	False	0.015863	0.012281
uc2.ark+=13960=t6b27vv1x	Glyn, Elinor	1864-1943.	The career of Katherine Bush	1916	1916.0	New York;Grosset & Dunlap;c1	Glyn, Elinor | The Career of Katherine Bush		40893	0.072838538	0.027761014				1.0	fic | romance		f			peizhen	gutenfictiontrimmed	Trimmed	False	0.0031025000000000002	0.01574625
inu.30000011498684	Behn, Aphra	1640-1689.	The works of Aphra Behn	1689	1915.0	London;W. Heinemann;Stratfor	Behn, Aphra | The Works of Aphra Behn	v.5	29854	0.493240049	0.137225007				1.0	fic		f			ted			False	0.0056616666666666655	0.0098025
nyp.33433075746556	Sedgwick, Anne Douglas	1873-1935.	The confounding of Camelia	1899	1899.0	New York;C. Scribner's Sons;	Sedgwick, Anne Douglas | The Confounding of Camelia		41917	0.036887218	0.270344946				1.0	fic | romance		f			wenyi	gutenfictiontrimmed	Trimmed	False	0.0025399999999999997	0.01159
nyp.33433075777098	Ingemann, Bernhard Severin	1789-1862.	The childhood of King Erik Menved. An historical romance	1846	1846.0	Longon;Bruce and Wyld;1846.	Ingemann, Bernhard Severin | The Childhood of King Erik Menved		36626	0.0	0.0		Erik Menved, 1286-1319|Erik Glipping, 1259-1286|History		1.0	fic | historical		m			peizhen	gutenfictiontrimmed	Trimmed	False	0.03767866666666667	0.02089733333333333
